XITK;SPDR FactSet Innovative Technology ETF
MTK;SPDR Morgan Stanley Technology ETF
XAR;SPDR S&P Aerospace & Defense ETF
KBE;SPDR S&P Bank ETF
XBI;SPDR S&P Biotech ETF
KCE;SPDR S&P Capital Markets ETF
XHE;SPDR S&P Health Care Equipment ETF
XHS;SPDR S&P Health Care Services ETF
XHB;SPDR S&P Homebuilders ETF
KIE;SPDR S&P Insurance ETF
XWEB;SPDR S&P Internet ETF
XME;SPDR S&P Metals and Mining ETF
XES;SPDR S&P Oil & Gas Equipment & Services ETF
XOP;SPDR S&P Oil & Gas Exploration & Production ETF
XPH;SPDR S&P Pharmaceuticals ETF
KRE;SPDR S&P Regional Banking ETF
XRT;SPDR S&P Retail ETF
XSD;SPDR S&P Semiconductor ETF
XSW;SPDR S&P Software & Services ETF
XTH;SPDR S&P Technology Hardware ETF
XTL;SPDR S&P Telecom ETF
XTN;SPDR S&P Transportation ETF
